Accel_X,Accel_Y,Accel_Z
158,3977,-15519
142,3987,-15511
153,3965,-15526
162,3972,-15520
156,3969,-15523
160,3972,-15526
144,3982,-15510
132,3977,-15540
165,3998,-15527
141,3985,-15510
148,3983,-15537
159,3997,-15521
159,3972,-15526
163,3983,-15525
147,3959,-15513
150,3961,-15534
163,3979,-15530
133,3970,-15512
161,3976,-15536
162,3974,-15514
139,3978,-15527
165,3980,-15535
159,3968,-15518
137,3970,-15526
149,3989,-15514
163,3968,-15515
156,3984,-15529
146,3981,-15536
149,3966,-15523
156,3982,-15519
139,3969,-15521
156,3974,-15533
136,3986,-15526
159,3978,-15520
155,3977,-15518
142,3977,-15507
156,3959,-15507
148,3975,-15518
155,3988,-15533
153,3978,-15523
137,3976,-15540
165,3972,-15532
154,3979,-15528
139,3987,-15521
161,3971,-15535
152,3984,-15527
162,3980,-15537
138,3980,-15519
147,3988,-15524
151,3974,-15529
151,3994,-15523
139,3965,-15524
139,3964,-15514
155,3972,-15533
155,3972,-15518
143,3976,-15529
166,3988,-15518
150,3980,-15514
158,3983,-15518
148,3984,-15509
154,3966,-15523
152,3988,-15532
151,3962,-15525
146,3986,-15534
152,3967,-15541
157,3976,-15520
151,3969,-15534
150,3969,-15522
153,3979,-15530
143,3974,-15507
150,3980,-15512
155,3965,-15527
152,3995,-15502
158,3972,-15505
141,3972,-15524
156,3976,-15523
158,3981,-15541
147,3965,-15529
170,3978,-15533
170,3974,-15537
149,3967,-15516
147,3970,-15508
138,3979,-15533
143,3976,-15543
141,3987,-15525
152,3981,-15508
146,3977,-15498
145,3967,-15527
160,3966,-15508
176,3971,-15516
166,3974,-15535
156,3959,-15552
139,3979,-15543
152,3990,-15514
130,3985,-15501
128,3991,-15519
150,3983,-15514
138,3995,-15510
151,3981,-15537
169,3976,-15526
144,3982,-15537
171,3982,-15511
150,3947,-15518
165,3963,-15535
167,3955,-15549
138,3958,-15529
146,3977,-15528
154,3974,-15538
164,3983,-15540
153,3991,-15500
147,3977,-15503
